image,defect_id,class,confidence,x_min,y_min,x_max,y_max
1 (1).jpg,1,aoxian,0.92236328125,647,214,722,311
1 (2).jpg,2,aoxian,0.978515625,659,542,751,632
1 (3).jpg,3,aoxian,0.86669921875,515,624,618,735
1 (43).jpg,4,aoxian,0.69921875,652,503,738,613
1 (44).jpg,5,aoxian,0.79296875,478,952,684,1059
1 (45).jpg,6,aoxian,0.75,512,388,627,810
1 (47).jpg,7,aoxian,0.9365234375,378,906,446,980
1 (5).jpg,8,aoxian,0.48193359375,766,170,978,604
1 (50).jpg,9,aoxian,0.9296875,357,679,460,773
1 (6).jpg,10,aoxian,0.94140625,585,412,670,500
1 (7).jpg,11,aoxian,0.962890625,667,852,759,952
1 (8).jpg,12,aoxian,0.323974609375,425,456,493,568
AOXIAN20.jpg,13,aoxian,0.90380859375,1123,523,1177,568
AOXIAN20.jpg,14,aoxian,0.96142578125,532,648,600,726
AOXIAN21.jpg,15,aoxian,0.95458984375,504,576,585,664
AOXIAN22.jpg,16,aoxian,0.401611328125,296,438,330,486
AOXIAN22.jpg,17,aoxian,0.763671875,394,832,431,876
AOXIAN22.jpg,18,aoxian,0.875,679,539,725,596
AOXIAN23.jpg,19,aoxian,0.91259765625,506,702,562,735
AOXIAN24.jpg,20,aoxian,0.4609375,524,761,542,787
AOXIAN25.jpg,21,aoxian,0.96728515625,649,475,710,525
AOXIAN26.jpg,22,aoxian,0.95361328125,446,772,541,862
AOXIAN27.jpg,23,aoxian,0.94384765625,374,590,900,1268
AOXIAN27.jpg,24,aoxian,0.96240234375,313,532,410,626
AOXIAN28.jpg,25,aoxian,0.931640625,662,403,724,460
AOXIAN29.jpg,26,aoxian,0.97216796875,611,458,681,534
AOXIAN30.jpg,27,aoxian,0.89794921875,932,305,980,358
AOXIAN30.jpg,28,aoxian,0.94384765625,556,446,654,576
AOXIAN31.jpg,29,aoxian,0.9375,591,492,646,554
AOXIAN32.jpg,30,aoxian,0.92138671875,618,725,674,792
AOXIAN33.jpg,31,aoxian,0.95166015625,568,724,656,898
AOXIAN33.jpg,32,aoxian,0.9716796875,496,466,627,610
AOXIAN34.jpg,33,aoxian,0.84521484375,884,640,920,684
AOXIAN34.jpg,34,aoxian,0.9697265625,474,712,590,809
AOXIAN35.jpg,35,aoxian,0.97021484375,504,799,596,876
AOXIAN36.jpg,36,aoxian,0.939453125,502,980,554,1024
AOXIAN36.jpg,37,aoxian,0.96240234375,506,749,622,844
AOXIAN37.jpg,38,aoxian,0.9443359375,664,573,715,616
AOXIAN37.jpg,39,aoxian,0.97021484375,565,805,639,862
AOXIAN38.jpg,40,aoxian,0.95361328125,473,465,530,540
AOXIAN39.jpg,41,aoxian,0.9619140625,512,684,576,764
AOXIAN40.jpg,42,aoxian,0.95849609375,534,638,607,714
AOXIAN41.jpg,43,aoxian,0.8994140625,618,714,656,758
AOXIAN42.jpg,44,aoxian,0.92138671875,626,830,676,894
AOXIAN43.jpg,45,aoxian,0.93505859375,628,662,676,692
AOXIAN44.jpg,46,aoxian,0.9248046875,583,549,629,610
AOXIAN45.jpg,47,aoxian,0.95654296875,459,740,521,794
AOXIAN46.jpg,48,aoxian,0.95751953125,641,778,709,839
AOXIAN47.jpg,49,aoxian,0.91845703125,347,734,414,796
AOXIAN47.jpg,50,aoxian,0.9453125,580,977,626,1015
AOXIAN48.jpg,51,aoxian,0.96484375,576,651,650,774
AOXIAN49.jpg,52,aoxian,0.958984375,582,684,626,772
